@relation postag

@attribute word string
@attribute tag_two_before string
@attribute tag_before string
@attribute tag string

@data
Ahli, UNKNOWN2, UNKNOWN1, PROPN
rekayasa, UNKNOWN1, PROPN, NOUN
optik, PROPN, NOUN, NOUN
mendesain, NOUN, NOUN, VERB
komponen, NOUN, VERB, NOUN
dari, VERB, NOUN, ADP
instrumen, NOUN, ADP, NOUN
optik, ADP, NOUN, ADJ
seperti, NOUN, ADJ, ADP
lensa, ADJ, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
mikroskop, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
teleskop, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
peralatan, PUNCT, CCONJ, NOUN
lainnya, CCONJ, NOUN, ADJ
yang, NOUN, ADJ, PRON
mendukung, ADJ, PRON, VERB
sifat, PRON, VERB, NOUN
cahaya, VERB, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Wisma, UNKNOWN2, UNKNOWN1, PROPN
Kalla, UNKNOWN1, PROPN, PROPN
terletak, PROPN, PROPN, VERB
di, PROPN, VERB, ADP
kota, VERB, ADP, NOUN
makassar, ADP, NOUN, ADJ
xCOMMA, NOUN, ADJ, PUNCT
tak, ADJ, PUNCT, ADV
jauh, PUNCT, ADV, ADJ
dari, ADV, ADJ, ADP
pantai, ADJ, ADP, NOUN
Losari, ADP, NOUN, PROPN
Makassar, NOUN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
dengat, PROPN, PUNCT, ADJ
dengan, PUNCT, ADJ, ADP
lapangan, ADJ, ADP, NOUN
Karebosi, ADP, NOUN, PROPN
Makassar, NOUN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
dekat, PROPN, PUNCT, ADJ
dengan, PUNCT, ADJ, ADP
Mal, ADJ, ADP, PROPN
Ratu, ADP, PROPN, PROPN
Indah, PROPN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
dan, PROPN, PUNCT, CCONJ
dekat, PUNCT, CCONJ, ADJ
juga, CCONJ, ADJ, ADV
dengan, ADJ, ADV, ADP
kawasan, ADV, ADP, NOUN
Trans, ADP, NOUN, PROPN
Studio, NOUN, PROPN, PROPN
Makassar, PROPN, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Hal, UNKNOWN2, UNKNOWN1, NOUN
tersebut, UNKNOWN1, NOUN, DET
dapat, NOUN, DET, ADV
dilihat, DET, ADV, VERB
dalam, ADV, VERB, ADP
beberapa, VERB, ADP, DET
contoh, ADP, DET, NOUN
karya, DET, NOUN, NOUN
mereka, NOUN, NOUN, PRON
xCOMMA, NOUN, PRON, PUNCT
seperti, PRON, PUNCT, ADP
“, PUNCT, ADP, PUNCT
Rietvield, ADP, PUNCT, PROPN
Schroeder, PUNCT, PROPN, PROPN
House, PROPN, PROPN, PROPN
serta, PROPN, PROPN, CCONJ
Red, PROPN, CCONJ, PROPN
Blue, CCONJ, PROPN, PROPN
Chair, PROPN, PROPN, PROPN
”, PROPN, PROPN, PUNCT
xDOT, PROPN, PUNCT, PUNCT
Gaya, PUNCT, PUNCT, NOUN
de, PUNCT, NOUN, PROPN
Stijl, NOUN, PROPN, PROPN
seperti, PROPN, PROPN, ADP
yang, PROPN, ADP, PRON
telah, ADP, PRON, ADV
disebutkan, PRON, ADV, VERB
di, ADV, VERB, ADP
awal, VERB, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
telah, NOUN, PUNCT, ADV
memengaruhi, PUNCT, ADV, VERB
gaya, ADV, VERB, NOUN
dari, VERB, NOUN, ADP
Bauhaus, NOUN, ADP, PROPN
serta, ADP, PROPN, CCONJ
gaya, PROPN, CCONJ, NOUN
arsitektur, CCONJ, NOUN, NOUN
Internasional, NOUN, NOUN, PROPN
xCOMMA, NOUN, PROPN, PUNCT
dan, PROPN, PUNCT, CCONJ
juga, PUNCT, CCONJ, CCONJ
gaya, CCONJ, CCONJ, NOUN
desain, CCONJ, NOUN, NOUN
interior, NOUN, NOUN, NOUN
dan, NOUN, NOUN, CCONJ
fashion, NOUN, CCONJ, PROPN
